37.5335 	DATA 	Mouse: Left button down, pos=(0,228)
37.5727 	DATA 	Mouse:  Left button up, pos=(0,0)
38.9605 	DATA 	Keypress: o
38.9611 	Level start key press 	25
38.9612 	Level fixation 0.000000 	25
44.0958 	DATA 	Keypress: q
44.2622 	DATA 	Keypress: q
44.4289 	DATA 	Keypress: q
44.5789 	DATA 	Keypress: q
44.7622 	DATA 	Keypress: q
44.9622 	DATA 	Keypress: q
45.1457 	DATA 	Keypress: q
45.3457 	DATA 	Keypress: q
45.5289 	DATA 	Keypress: q
45.7289 	DATA 	Keypress: q
45.9290 	DATA 	Keypress: q
46.1123 	DATA 	Keypress: q
46.2958 	DATA 	Keypress: q
46.5124 	DATA 	Keypress: q
46.6958 	DATA 	Keypress: q
46.8958 	DATA 	Keypress: q
47.1125 	DATA 	Keypress: q
47.2958 	DATA 	Keypress: q
47.4267 	Level fixation end 0.000000 	25
47.4268 	Level START 	25
