34.2783 	DATA 	Keypress: 5
43.2764 	DATA 	Keypress: o
43.2770 	Level start key press 	25
43.2771 	Level fixation 0.000000 	25
45.2904 	DATA 	Keypress: o
47.2905 	DATA 	Keypress: o
49.2908 	DATA 	Keypress: o
51.2910 	DATA 	Keypress: o
51.7221 	Level fixation end 0.000000 	25
51.7222 	Level START 	25
52.1058 	Level b.jpg at position=right and a.jpg at position=left 	25
53.7238 	DATA 	Keypress: 1
53.7255 	DATA 	Keypress: o
53.7557 	Level keypress=1 at time= 1.601547 	25
53.7561 	Level injecting via pump at address 1 and a keypress of 1 and image of a.jpg 	25
58.7283 	DATA 	Keypress: o
58.7298 	DATA 	Keypress: o
59.7253 	DATA 	Keypress: o
59.7399 	Level RINSE 	25
61.7284 	DATA 	Keypress: o
67.7222 	Level finished 	25
67.7237 	DATA 	Keypress: o
67.7250 	DATA 	Keypress: o
67.7261 	DATA 	Keypress: o
68.0896 	Level b.jpg at position=left and a.jpg at position=right 	25
69.7238 	DATA 	Keypress: 1
69.7255 	DATA 	Keypress: o
69.7575 	Level keypress=1 at time= 1.616055 	25
69.7579 	Level injecting via pump at address 2 and a keypress of 1 and image of b.jpg 	25
74.7278 	DATA 	Keypress: o
74.7290 	DATA 	Keypress: o
75.7248 	DATA 	Keypress: o
75.7418 	Level RINSE 	25
77.7274 	DATA 	Keypress: o
82.7222 	Level finished 	25
82.7235 	DATA 	Keypress: o
82.7244 	DATA 	Keypress: o
83.1000 	Level b.jpg at position=right and a.jpg at position=left 	25
84.7233 	DATA 	Keypress: o
84.7243 	DATA 	Keypress: 2
84.7427 	Level keypress=2 at time= 1.597965 	25
84.7432 	Level injecting via pump at address 2 and a keypress of 2 and image of b.jpg 	25
89.7275 	DATA 	Keypress: o
89.7287 	DATA 	Keypress: o
89.7296 	DATA 	Keypress: o
90.7436 	Level RINSE 	25
92.7271 	DATA 	Keypress: o
97.7222 	Level finished 	25
97.7235 	DATA 	Keypress: o
97.7244 	DATA 	Keypress: o
97.7254 	DATA 	Keypress: o
98.1077 	Level e.jpg at position=right and f.jpg at position=left 	25
99.7233 	DATA 	Keypress: 1
99.7246 	DATA 	Keypress: o
99.7444 	Level keypress=1 at time= 1.578593 	25
99.7449 	Level injecting via pump at address 2 and a keypress of 1 and image of f.jpg 	25
104.7277 	DATA 	Keypress: o
104.7289 	DATA 	Keypress: o
105.7248 	DATA 	Keypress: o
105.7453 	Level RINSE 	25
107.7272 	DATA 	Keypress: o
113.7222 	Level finished 	25
113.7238 	DATA 	Keypress: o
113.7250 	DATA 	Keypress: o
113.7260 	DATA 	Keypress: o
114.0996 	Level c.jpg at position=left and d.jpg at position=right 	25
115.7234 	DATA 	Keypress: 2
115.7247 	DATA 	Keypress: o
115.7464 	Level keypress=2 at time= 1.610195 	25
115.7469 	Level injecting via pump at address 1 and a keypress of 2 and image of d.jpg 	25
120.7274 	DATA 	Keypress: o
120.7285 	DATA 	Keypress: o
121.7250 	DATA 	Keypress: o
121.7472 	Level RINSE 	25
123.7279 	DATA 	Keypress: o
127.7222 	Level finished 	25
127.7235 	DATA 	Keypress: o
127.7245 	DATA 	Keypress: o
128.0998 	Level e.jpg at position=left and f.jpg at position=right 	25
129.7238 	DATA 	Keypress: 2
129.7250 	DATA 	Keypress: o
129.7313 	Level keypress=2 at time= 1.592161 	25
129.7317 	Level injecting via pump at address 1 and a keypress of 2 and image of f.jpg 	25
134.7267 	DATA 	Keypress: o
134.7278 	DATA 	Keypress: o
135.7251 	DATA 	Keypress: o
135.7322 	Level RINSE 	25
137.7272 	DATA 	Keypress: o
142.7222 	Level finished 	25
142.7237 	DATA 	Keypress: o
142.7249 	DATA 	Keypress: o
143.1157 	Level c.jpg at position=right and d.jpg at position=left 	25
144.7235 	DATA 	Keypress: o
144.7248 	DATA 	Keypress: 1
144.7498 	Level keypress=1 at time= 1.591499 	25
144.7503 	Level injecting via pump at address 2 and a keypress of 1 and image of d.jpg 	25
149.7269 	DATA 	Keypress: o
149.7282 	DATA 	Keypress: o
149.7294 	DATA 	Keypress: o
150.7506 	Level RINSE 	25
152.7271 	DATA 	Keypress: o
157.7222 	Level finished 	25
157.7236 	DATA 	Keypress: o
157.7248 	DATA 	Keypress: o
157.7260 	DATA 	Keypress: o
158.1070 	Level b.jpg at position=left and a.jpg at position=right 	25
159.7234 	DATA 	Keypress: 2
159.7247 	DATA 	Keypress: o
159.7515 	Level keypress=2 at time= 1.588324 	25
159.7520 	Level injecting via pump at address 1 and a keypress of 2 and image of a.jpg 	25
164.7277 	DATA 	Keypress: o
164.7290 	DATA 	Keypress: o
165.7249 	DATA 	Keypress: o
165.7524 	Level RINSE 	25
167.7267 	DATA 	Keypress: o
173.7222 	Level finished 	25
173.7238 	DATA 	Keypress: o
173.7251 	DATA 	Keypress: o
173.7263 	DATA 	Keypress: o
174.1036 	Level c.jpg at position=left and d.jpg at position=right 	25
175.7233 	DATA 	Keypress: 1
175.7243 	DATA 	Keypress: o
175.7535 	Level keypress=1 at time= 1.603130 	25
175.7539 	Level injecting via pump at address 2 and a keypress of 1 and image of c.jpg 	25
180.7275 	DATA 	Keypress: o
180.7285 	DATA 	Keypress: o
181.7245 	DATA 	Keypress: o
181.7542 	Level RINSE 	25
183.7276 	DATA 	Keypress: o
189.7222 	Level finished 	25
189.7238 	DATA 	Keypress: o
189.7248 	DATA 	Keypress: o
189.7260 	DATA 	Keypress: o
190.1167 	Level b.jpg at position=left and a.jpg at position=right 	25
191.7233 	DATA 	Keypress: 2
191.7243 	DATA 	Keypress: o
191.7553 	Level keypress=2 at time= 1.584488 	25
191.7558 	Level injecting via pump at address 1 and a keypress of 2 and image of a.jpg 	25
196.7278 	DATA 	Keypress: o
196.7291 	DATA 	Keypress: o
197.7250 	DATA 	Keypress: o
197.7561 	Level RINSE 	25
199.7271 	DATA 	Keypress: o
