16.2626 	DATA 	Keypress: escape
86.2157 	DATA 	Keypress: o
86.2164 	Level start key press 	25
86.2165 	Level fixation 0.000001 	25
88.2242 	DATA 	Keypress: o
90.2244 	DATA 	Keypress: o
92.2245 	DATA 	Keypress: o
94.2247 	DATA 	Keypress: o
94.6892 	Level fixation end 0.000001 	25
94.6893 	Level START 	25
95.0966 	Level a.jpg at position=right and b.jpg at position=left 	25
96.6906 	DATA 	Keypress: o
96.6918 	DATA 	Keypress: 2
96.7232 	Level keypress=2 at time= 1.569319 	25
96.7237 	Level injecting via pump at address 1 and a keypress of 2 and image of a.jpg 	25
101.6942 	DATA 	Keypress: o
101.6954 	DATA 	Keypress: o
102.6919 	DATA 	Keypress: o
102.7070 	Level RINSE 	25
104.6963 	DATA 	Keypress: o
109.6893 	Level finished 	25
109.6910 	DATA 	Keypress: o
109.6924 	DATA 	Keypress: o
110.1003 	Level a.jpg at position=left and b.jpg at position=right 	25
111.6910 	DATA 	Keypress: o
111.6928 	DATA 	Keypress: 1
111.7078 	Level keypress=1 at time= 1.568209 	25
111.7083 	Level injecting via pump at address 1 and a keypress of 1 and image of a.jpg 	25
116.6965 	DATA 	Keypress: o
116.6982 	DATA 	Keypress: o
116.6997 	DATA 	Keypress: o
117.7085 	Level RINSE 	25
119.6964 	DATA 	Keypress: o
125.6893 	Level finished 	25
125.6911 	DATA 	Keypress: o
125.6928 	DATA 	Keypress: o
125.6944 	DATA 	Keypress: o
126.1010 	Level b.jpg at position=left and a.jpg at position=right 	25
127.6911 	DATA 	Keypress: o
127.7097 	Level Key Press Missed! 	25
127.7293 	DATA 	Keypress: 1
132.6966 	DATA 	Keypress: o
132.6983 	DATA 	Keypress: 1
132.6998 	DATA 	Keypress: 1
132.7014 	DATA 	Keypress: o
132.7028 	DATA 	Keypress: o
133.7104 	Level RINSE 	25
135.6959 	DATA 	Keypress: o
139.6893 	Level finished 	25
139.6912 	DATA 	Keypress: o
139.6928 	DATA 	Keypress: o
140.0905 	Level b.jpg at position=right and a.jpg at position=left 	25
141.6910 	DATA 	Keypress: o
141.6928 	DATA 	Keypress: 1
141.6946 	DATA 	Keypress: 5
